,Game_Date,Coach_Name,Team_Name,Full_Time_Goals,Full_Time_Result,Half_Team_Goals,Half_Time_Result,Team_Shots,Shots_on_Target,Team_Fouls
0,2010-02-10,Sir Alex Ferguson,Man United,0.0,Draw,0.0,Draw,10.0,4.0,6.0
1,2010-06-11,Sir Alex Ferguson,Man United,2.0,Win,1.0,Win,14.0,10.0,6.0
2,2010-08-16,Sir Alex Ferguson,Man United,3.0,Win,2.0,Win,18.0,10.0,9.0
3,2010-08-22,Sir Alex Ferguson,Man United,2.0,Draw,1.0,Win,14.0,7.0,6.0
4,2010-08-28,Sir Alex Ferguson,Man United,3.0,Win,1.0,Win,18.0,11.0,6.0
5,2010-09-19,Sir Alex Ferguson,Man United,3.0,Win,1.0,Win,16.0,7.0,15.0
6,2010-09-26,Sir Alex Ferguson,Man United,2.0,Draw,1.0,Draw,12.0,6.0,18.0
7,2010-10-11,Sir Alex Ferguson,Man United,0.0,Draw,0.0,Draw,7.0,4.0,12.0
8,2010-10-16,Sir Alex Ferguson,Man United,2.0,Draw,2.0,Win,16.0,9.0,10.0
9,2010-10-24,Sir Alex Ferguson,Man United,2.0,Win,1.0,Win,12.0,5.0,13.0
10,2010-10-30,Sir Alex Ferguson,Man United,2.0,Win,1.0,Win,18.0,10.0,12.0
11,2010-11-09,Sir Alex Ferguson,Man United,3.0,Draw,1.0,Draw,13.0,8.0,18.0
12,2010-11-13,Sir Alex Ferguson,Man United,2.0,Draw,0.0,Draw,16.0,10.0,9.0
13,2010-11-20,Sir Alex Ferguson,Man United,2.0,Win,1.0,Win,17.0,12.0,10.0
14,2010-11-27,Sir Alex Ferguson,Man United,7.0,Win,3.0,Win,15.0,11.0,6.0
15,2010-12-13,Sir Alex Ferguson,Man United,1.0,Win,1.0,Win,14.0,10.0,7.0
16,2010-12-26,Sir Alex Ferguson,Man United,2.0,Win,1.0,Win,14.0,10.0,9.0
17,2010-12-28,Sir Alex Ferguson,Man United,1.0,Draw,0.0,Draw,10.0,4.0,11.0
18,2011-01-01,Sir Alex Ferguson,Man United,2.0,Win,1.0,Draw,5.0,3.0,13.0
19,2011-01-02,Sir Alex Ferguson,Man United,3.0,Win,2.0,Win,18.0,11.0,6.0
20,2011-01-03,Sir Alex Ferguson,Man United,1.0,Loss,1.0,Win,12.0,7.0,14.0
21,2011-01-05,Sir Alex Ferguson,Man United,0.0,Loss,0.0,Draw,11.0,7.0,7.0
22,2011-01-10,Sir Alex Ferguson,Man United,2.0,Win,0.0,Draw,17.0,9.0,9.0
23,2011-01-16,Sir Alex Ferguson,Man United,0.0,Draw,0.0,Draw,7.0,4.0,18.0
24,2011-01-22,Sir Alex Ferguson,Man United,5.0,Win,3.0,Win,23.0,9.0,10.0
25,2011-01-25,Sir Alex Ferguson,Man United,3.0,Win,0.0,Loss,17.0,13.0,10.0
26,2011-02-04,Sir Alex Ferguson,Man United,4.0,Win,0.0,Loss,18.0,9.0,9.0
27,2011-02-26,Sir Alex Ferguson,Man United,4.0,Win,1.0,Win,14.0,9.0,11.0
28,2011-03-12,Sir Alex Ferguson,Man United,1.0,Win,1.0,Win,11.0,5.0,11.0
29,2011-03-19,Sir Alex Ferguson,Man United,1.0,Win,0.0,Draw,14.0,8.0,8.0
30,2011-04-01,Sir Alex Ferguson,Man United,2.0,Win,1.0,Win,18.0,7.0,6.0
31,2011-04-19,Sir Alex Ferguson,Man United,0.0,Draw,0.0,Draw,18.0,8.0,10.0
32,2011-04-23,Sir Alex Ferguson,Man United,1.0,Win,0.0,Draw,21.0,12.0,10.0
33,2011-05-02,Sir Alex Ferguson,Man United,1.0,Loss,1.0,Loss,14.0,7.0,11.0
34,2011-05-11,Sir Alex Ferguson,Man United,1.0,Win,1.0,Win,15.0,9.0,6.0
35,2011-05-14,Sir Alex Ferguson,Man United,1.0,Draw,0.0,Loss,9.0,4.0,11.0
36,2011-05-22,Sir Alex Ferguson,Man United,4.0,Win,1.0,Draw,18.0,11.0,8.0
37,2011-06-03,Sir Alex Ferguson,Man United,1.0,Loss,0.0,Loss,12.0,7.0,12.0
38,2011-08-05,Sir Alex Ferguson,Man United,2.0,Win,2.0,Win,13.0,8.0,12.0
39,2011-08-14,Sir Alex Ferguson,Man United,2.0,Win,1.0,Draw,11.0,5.0,9.0
40,2011-08-22,Sir Alex Ferguson,Man United,3.0,Win,0.0,Draw,27.0,21.0,12.0
41,2011-08-28,Sir Alex Ferguson,Man United,8.0,Win,3.0,Win,25.0,15.0,9.0
42,2011-09-04,Sir Alex Ferguson,Man United,2.0,Win,2.0,Win,16.0,12.0,12.0
43,2011-09-18,Sir Alex Ferguson,Man United,3.0,Win,3.0,Win,12.0,7.0,11.0
44,2011-09-24,Sir Alex Ferguson,Man United,1.0,Draw,1.0,Win,13.0,9.0,3.0
45,2011-10-09,Sir Alex Ferguson,Man United,5.0,Win,3.0,Win,13.0,9.0,1.0
46,2011-10-12,Sir Alex Ferguson,Man United,4.0,Win,2.0,Win,22.0,18.0,7.0
47,2011-10-15,Sir Alex Ferguson,Man United,1.0,Draw,0.0,Draw,10.0,3.0,11.0
48,2011-10-23,Sir Alex Ferguson,Man United,1.0,Loss,0.0,Loss,12.0,8.0,15.0
49,2011-10-29,Sir Alex Ferguson,Man United,1.0,Win,1.0,Win,7.0,6.0,8.0
50,2011-11-19,Sir Alex Ferguson,Man United,1.0,Win,1.0,Win,13.0,7.0,9.0
